Company,Inches,Cpu,Ram(in GB),Memory(in GB),Gpu,OpSys,Weight,Price_euros
Dell,15.6,Intel Core i7 8550U 1.8GHz,8,2048,AMD Radeon 530,Windows 10,2.2,985
HP,15.6,Intel Core i5 7200U 2.5GHz,8,1024,Intel HD Graphics 620,Windows 10,2.04,559
Asus,17.3,Intel Core i7 7820HK 2.9GHz,16,256,Nvidia GeForce GTX 1080,Windows 10,3.6,2999
HP,13.3,Intel Core i5 8250U 1.6GHz,4,500,Intel UHD Graphics 620,Windows 10,1.49,675
Apple,13.3,Intel Core i5 3.1GHz,8,512,Intel Iris Plus Graphics 650,macOS,1.37,2040
Dell,15.6,Intel Core i7 8550U 1.8GHz,8,1024,Intel UHD Graphics 620,Windows 10,2.08,819
Asus,17.3,Intel Core i7 7700HQ 2.8GHz,16,1024,Nvidia GeForce GTX 980M,Windows 10,4.3,1799
Asus,15.6,AMD A9-Series 9420 3GHz,4,1024,AMD Radeon R5 M420,Windows 10,1.68,469
Lenovo,13.9,Intel Core i7 8550U 1.8GHz,8,512,Intel UHD Graphics 620,Windows 10,1.37,1849
Acer,17.3,Intel Core i3 7130U 2.7GHz,4,256,Nvidia GeForce MX130,Windows 10,3,702
Dell,13.3,Intel Core i5 8250U 1.6GHz,8,256,Intel UHD Graphics 620,Windows 10,1.41,949
HP,15.6,AMD A6-Series A6-9220 2.5GHz,8,128,AMD Radeon R4 Graphics,Windows 10,1.91,445.9
HP,17.3,Intel Core i7 8550U 1.8GHz,16,1024,Nvidia GeForce MX150,Windows 10,2.9,1059
MSI,17.3,Intel Core i7 7700HQ 2.8GHz,16,1024,Nvidia GeForce GTX 1070,Windows 10,4.14,2499
Lenovo,15.6,Intel Core i7 7700HQ 2.8GHz,8,512,Nvidia GeForce GTX 1050M,Windows 10,2,1699
Dell,17.3,Intel Core i7 8550U 1.8GHz,8,1024,AMD Radeon 530,Windows 10,2.8,1142
Lenovo,15.6,Intel Core i3 6006U 2GHz,4,256,Intel HD Graphics 520,No OS,2.2,444
HP,15.6,Intel Core i5 8250U 1.6GHz,4,500,Intel HD Graphics 620,Windows 10,2.1,722
Dell,15.6,Intel Core i5 7200U 2.5GHz,4,1024,Intel HD Graphics 620,Windows 10,2.18,657
Dell,15.6,Intel Core i5 7200U 2.5GHz,8,1024,AMD Radeon R5 M430,Windows 10,2.24,565
Dell,15.6,Intel Core i5 8250U 1.6GHz,8,256,Intel UHD Graphics 620,Windows 10,2.67,799
Asus,13.3,Intel Core i7 8550U 1.8GHz,8,1024,Intel UHD Graphics 620,Windows 10,1.1,1499
Lenovo,15.6,Intel Core i5 7200U 2.5GHz,4,1024,Intel HD Graphics 620,No OS,2.2,467
HP,17.3,Intel Core i7 8550U 1.8GHz,8,1024,Nvidia GeForce 930MX ,Windows 10,2.5,1018
Lenovo,15.6,Intel Core i7 8550U 1.8GHz,8,256,Intel UHD Graphics 620,Windows 10,2.05,880
Apple,13.3,Intel Core i5 2.9GHz,8,512,Intel Iris Graphics 550,macOS,1.37,1958.9
Asus,17.3,AMD Ryzen 1700 3GHz,16,1024,AMD Radeon RX 580,Windows 10,3.2,1549
Dell,15.6,Intel Core i7 8550U 1.8GHz,8,256,AMD Radeon 520,Linux,2.14,735.07
Lenovo,14,Intel Core i7 6600U 2.6GHz,16,512,Intel HD Graphics 520,Windows 10,1.36,2499
Toshiba,15.6,Intel Core i7 6500U 2.5GHz,8,500,Nvidia GeForce 930M,Windows 10,2.2,812
Dell,15.6,Intel Core i7 7500U 2.7GHz,12,1024,Intel HD Graphics 620,Windows 10,2.3,713.07
Dell,17.3,Intel Core i7 8550U 1.8GHz,8,1024,AMD Radeon 530,Linux,2.8,1099
Acer,15.6,Intel Core i7 8550U 1.8GHz,8,1024,Nvidia GeForce MX130,Windows 10,2.2,745
Lenovo,17.3,Intel Core i3 6006U 2GHz,4,1024,Intel HD Graphics 520,Windows 10,2.8,489
Lenovo,17.3,Intel Core i7 8550U 1.8GHz,8,2048,Nvidia GeForce MX150,No OS,2.8,849
Lenovo,17.3,Intel Core i7 7500U 2.7GHz,6,1024,Nvidia GeForce 940MX,Windows 10,2.8,859
Dell,15.6,Intel Core i3 6006U 2.0GHz,4,1024,AMD Radeon R5 M430,Linux,2.25,428
Lenovo,15.6,Intel Core i5 7300HQ 2.5GHz,8,256,Nvidia GeForce GTX 1050,Windows 10,2.5,829
Lenovo,15.6,Intel Core i5 7200U 2.5GHz,6,256,Intel HD Graphics 620,Windows 10,2.2,579
Acer,15.6,Intel Core i7 8550U 1.8GHz,8,256,Nvidia GeForce MX150,Windows 10,3,951
Acer,15.6,Intel Core i7 7500U 2.7GHz,12,1024,Intel HD Graphics 620,Windows 10,2.15,659
Lenovo,15.6,Intel Core i7 7500U 2.7GHz,8,256,Intel HD Graphics 630,Windows 10,1.95,1097
Asus,15.6,Intel Core i5 7200U 2.5GHz,8,256,Nvidia GeForce 940MX,Windows 10,1.7,977
Lenovo,15.6,Intel Core i7 7700HQ 2.8GHz,16,1024,Nvidia GeForce GTX 1050 Ti,Windows 10,2.5,1179
Lenovo,15.6,Intel Core i7 7500U 2.7GHz,8,1024,Nvidia GeForce 940MX,No OS,2.2,659.01
Acer,15.6,Intel Celeron Dual Core 3205U 1.5GHz,2,16,Intel HD Graphics,Chrome OS,2.19,199
Asus,17.3,Intel Core i7 7700HQ 2.8GHz,8,1024,Nvidia GeForce GTX 1050,Windows 10,3,1187
HP,17.3,Intel Core i3 6006U 2GHz,8,1024,Intel HD Graphics 520,Windows 10,2.54,489
Dell,15.6,Intel Core i7 7700HQ 2.8GHz,8,256,Nvidia GeForce GTX 1050,Windows 10,2,1829
Lenovo,15.6,Intel Core i5 8250U 1.6GHz,8,256,Intel UHD Graphics 620,Windows 10,2.05,739
Lenovo,15.6,Intel Core i7 7700HQ 2.8GHz,8,1024,Nvidia GeForce GTX 1060,Windows 10,3.2,1299
Acer,15.6,Intel Core i7 7700HQ 2.8GHz,8,256,Nvidia GeForce GTX 1050 Ti,Linux,2.5,979
Dell,17.3,Intel Core i7 7820HQ 2.9GHz,16,256,Nvidia Quadro M1200,Windows 10,3.42,2884.86
Lenovo,15.6,AMD A10-Series 9600P 2.4GHz,6,1024,AMD Radeon R5 430,Windows 10,2.4,499
Asus,15.6,Intel Core i7 7500U 2.7GHz,16,512,Nvidia GeForce 940MX,Windows 10,1.63,1468
Asus,14,Intel Core i3 7100U 2.4GHz,4,128,Intel HD Graphics 620,Windows 10,1.3,509
Asus,17.3,Intel Core i7 7700HQ 2.8GHz,16,1024,Nvidia GeForce GTX 1070,Windows 10,2.9,2122
Lenovo,17.3,Intel Core i5 7200U 2.5GHz,6,1024,Nvidia GeForce GTX 940M,Windows 10,2.8,649
Lenovo,15.6,Intel Core i5 7200U 2.5GHz,8,2048,Nvidia GeForce 940MX,No OS,2.2,549
Asus,15.6,Intel Core i7 7700HQ 2.8GHz,8,1024,Nvidia GeForce GTX 1050 Ti,Windows 10,2.5,1265
Lenovo,15.6,Intel Pentium Quad Core N4200 1.1GHz,4,1024,Intel HD Graphics 505,No OS,2.2,359.99
HP,13.3,Intel Core i7 7600U 2.8GHz,16,256,Intel HD Graphics 620,Windows 10,1.28,1975
Toshiba,15.6,Intel Core i7 6500U 2.5GHz,8,256,Nvidia GeForce 930M,Windows 10,2.2,1043
Lenovo,15.6,Intel Core i5 7200U 2.5GHz,8,1024,Nvidia GeForce 940MX,Windows 10,2.3,819
HP,15.6,Intel Core i3 6006U 2GHz,4,1024,Intel HD Graphics 520,Windows 10,1.86,469
Lenovo,13.3,Intel Core i5 7200U 2.5GHz,8,256,Intel HD Graphics 620,Windows 10,1.1,999
Dell,13.3,Intel Core i7 8550U 1.8GHz,16,1024,Intel UHD Graphics 620,Windows 10,1.21,2499
MSI,15.6,Intel Core i7 7700HQ 2.8GHz,16,1024,Nvidia GeForce GTX 1070,Windows 10,2.8,2099
Acer,15.6,AMD A8-Series 7410 2.2GHz,8,256,AMD Radeon R5,Windows 10,2.23,469
Asus,11.6,Intel Celeron Dual Core N3350 1.1GHz,2,32,Intel HD Graphics 500,Windows 10,1.1,275
Dell,15.6,Intel Core i5 8250U 1.6GHz,8,1024,AMD Radeon 530,Windows 10,2.33,844
HP,13.3,Intel Core i7 8550U 1.8GHz,16,1024,Intel UHD Graphics 620,Windows 10,1.29,2449
Lenovo,13.3,Intel Celeron Dual Core 3855U 1.6GHz,4,16,Intel HD Graphics 510,Chrome OS,1.45,459.9
HP,14,Intel Core i5 7200U 2.5GHz,8,256,Intel HD Graphics 620,Windows 10,1.95,980
Acer,11.6,Intel Pentium Quad Core N3710 1.6GHz,4,128,Intel HD Graphics 405,Windows 10,1.4,485
HP,14,Intel Core i7 7500U 2.7GHz,8,256,Intel HD Graphics 620,Windows 10,1.48,1292
Lenovo,17.3,Intel Core i5 7200U 2.5GHz,4,1024,Nvidia GeForce 920MX,Windows 10,2.79,589
Asus,14,Intel Core i7 7500U 2.7GHz,8,256,Intel HD Graphics 620,Windows 10,2,1094
HP,15.6,Intel Core i7 8550U 1.8GHz,8,1024,Intel UHD Graphics 620,Windows 10,2.1,902
Acer,15.6,AMD A12-Series 9720P 2.7GHz,8,256,AMD Radeon RX 540,Windows 10,2.2,659
Lenovo,14,Intel Celeron Dual Core N3350 1.1GHz,4,32,Intel HD Graphics 500,Windows 10,1.44,292
Acer,15.6,Intel Core i5 7200U 2.5GHz,6,1024,Intel HD Graphics 620,Windows 10,2.23,549
Asus,15.6,Intel Core i7 7500U 2.7GHz,8,256,Nvidia GeForce 940MX,Windows 10,1.7,1049.9
HP,12.5,Intel Core i7 7500U 2.7GHz,8,256,Intel HD Graphics 620,Windows 10,1.26,1335
Dell,15.6,Intel Core i7 7700HQ 2.8GHz,32,1024,Nvidia GeForce GTX 1050,Windows 10,2.06,2639
MSI,17.3,Intel Core i7 7700HQ 2.8GHz,8,1024,Nvidia GeForce GTX 1050 Ti,Windows 10,2.7,1199
Toshiba,15.6,Intel Core i5 7200U 2.5GHz,8,256,Intel HD Graphics 620,Windows 10,2,943
Asus,14,Intel Core i7 7500U 2.7GHz,8,1024,Intel HD Graphics 620,Windows 10,2,1334
Lenovo,15.6,Intel Core i3 6006U 2GHz,4,1024,Intel HD Graphics 520,Windows 10,1.85,449
Asus,15.6,Intel Core i7 7700HQ 2.8GHz,8,256,Nvidia GeForce GTX 1050,Windows 10,2.5,999
HP,14,Intel Core i5 7300U 2.6GHz,8,256,Intel HD Graphics 620,Windows 10,1.48,1268
Dell,15.6,Intel Core i5 8250U 1.6GHz,8,1024,Nvidia GeForce 940MX,Windows 10,1.9,1049
HP,15.6,Intel Core i5 7200U 2.5GHz,8,256,Intel HD Graphics 620,Windows 10,1.84,1144
Asus,15.6,Intel Celeron Dual Core N3350 1.1GHz,4,1024,Intel HD Graphics 500,Linux,2,274.99
Dell,15.6,Intel Core i5 8250U 1.6GHz,8,256,Nvidia GeForce 940MX,Windows 10,2,1142.75
Dell,15.6,Intel Celeron Dual Core N3060 1.6GHz,4,500,Intel HD Graphics,Linux,2.2,274.9
Lenovo,15.6,AMD A12-Series 9720P 3.6GHz,12,2,AMD Radeon 530,Windows 10,2.2,899
HP,15.6,Intel Core i3 7100U 2.4GHz,8,1024,Nvidia GeForce 930MX ,Windows 10,2.1,716
Lenovo,13.9,Intel Core i7 8550U 1.8GHz,16,512,Intel UHD Graphics 620,Windows 10,1.4,2099
Dell,13.3,Intel Core i7 8550U 1.8GHz,8,256,Intel UHD Graphics 620,Windows 10,1.2,1579
Lenovo,15.6,Intel Core i7 7700HQ 2.8GHz,16,2048,Nvidia GeForce GTX 1050 Ti,Windows 10,2.4,1129
HP,14,Intel Celeron Dual Core N3060 1.6GHz,2,32,Intel HD Graphics 400,Windows 10,1.44,279
Dell,15.6,Intel Core i7 8650U 1.9GHz,16,1024,Intel UHD Graphics 620,Windows 10,1.88,1607.96
Asus,11.6,Intel Celeron Dual Core N3350 1.1GHz,4,32,Intel HD Graphics 500,Windows 10,1.5,375
Dell,15.6,Intel Core i5 8250U 1.6GHz,8,1024,AMD Radeon 530,Windows 10,1.9,663
Dell,15.6,Intel Core i7 7700HQ 2.8GHz,16,512,Nvidia GeForce GTX 1050,Windows 10,2.06,2027.42
HP,15.6,Intel Core i7 7500U 2.7GHz,8,256,Intel HD Graphics 620,Windows 10,1.84,1304
MSI,17.3,Intel Core i7 7700HQ 2.8GHz,8,1024,Nvidia GeForce GTX 1060,Windows 10,2.7,1409
HP,15.6,Intel Core i7 7700HQ 2.8GHz,8,256,Nvidia Quadro M1200,Windows 10,2.6,1738.27
Toshiba,15.6,Intel Core i7 6500U 2.5GHz,16,512,Nvidia GeForce 930M,Windows 10,2.4,1403
Dell,15.6,Intel Core i7 8550U 1.8GHz,8,1024,AMD Radeon 530,Windows 10,2.02,970.9
Lenovo,15.6,Intel Celeron Dual Core N3350 1.1GHz,4,1024,Intel HD Graphics 500,No OS,2.2,321.99
Dell,15.6,Intel Core i5 7300HQ 2.5GHz,8,1024,Nvidia GeForce GTX 1050,Windows 10,2.65,999
Dell,15.6,Intel Core i5 7200U 2.5GHz,8,2048,Intel HD Graphics 620,Windows 10,2.36,557.37
Dell,14,Intel Core i5 7300U 2.6GHz,8,256,Intel HD Graphics 620,Windows 10,1.36,1427
HP,15.6,Intel Core i3 6006U 2GHz,4,500,Intel HD Graphics 520,Windows 10,1.86,439
Asus,14,Intel Core i5 7200U 2.5GHz,8,256,Intel HD Graphics 620,Windows 10,2,945
Lenovo,17.3,Intel Core i5 7200U 2.5GHz,6,1024,Nvidia GeForce GTX 940MX,Windows 10,2.8,719
HP,15.6,Intel Core i5 7200U 2.5GHz,8,1024,Intel HD Graphics 620,Windows 10,1.86,639
Lenovo,15.6,Intel Core i3 6006U 2GHz,8,256,Nvidia GeForce 920MX ,No OS,2.2,499
HP,15.6,Intel Pentium Quad Core N3710 1.6GHz,8,2048,Intel HD Graphics 405,Windows 10,2.04,389
Dell,17.3,Intel Core i5 8250U 1.6GHz,8,1024,AMD Radeon 530,Windows 10,2.8,1085
Lenovo,15.6,Intel Core i5 7300HQ 2.5GHz,8,1024,Nvidia GeForce GTX 1050,No OS,2.4,809
Dell,15.6,Intel Core i7 7500U 2.7GHz,8,256,AMD Radeon R7 M445,Windows 10,2.33,899
HP,14,Intel Core i7 7500U 2.7GHz,8,256,Intel HD Graphics 620,Windows 10,1.36,1750
Asus,15.6,Intel Core i7 7500U 2.7GHz,12,2048,Nvidia GeForce GT 940MX,Windows 10,2.26,1099
Acer,15.6,AMD A9-Series 9420 3GHz,4,128,AMD Radeon R5,Windows 10,2.1,426
Asus,17.3,AMD Ryzen 1700 3GHz,16,1024,AMD Radeon RX 580,Windows 10,3.25,2199
Lenovo,17.3,AMD A8-Series 7410 2.2GHz,4,128,AMD Radeon R5,Windows 10,2.6,489
Dell,13.3,Intel Core i7 8550U 1.8GHz,8,256,Intel UHD Graphics 620,Windows 10,1.62,869.01
HP,15.6,AMD A9-Series 9420 3GHz,4,256,AMD Radeon R5,Windows 10,1.91,488.99
Lenovo,11.6,Intel Celeron Quad Core N3450 1.1GHz,4,128,Intel HD Graphics 500,Windows 10,1.59,553
Dell,15.6,Intel Celeron Dual Core N3060 1.60GHz,4,500,Intel HD Graphics 400,Windows 10,1.8,309
Asus,14,Intel Celeron Dual Core N3350 1.1GHz,4,32,Intel HD Graphics 500,Windows 10,1.5,286
Acer,15.6,Intel Core i7 7700HQ 2.8GHz,8,1024,Nvidia GeForce GTX 1050,Linux,2.4,846
HP,17.3,Intel Core i7 7700HQ 2.8GHz,8,1024,Nvidia GeForce GTX 1050,Windows 10,3.35,1191
Lenovo,15.6,Intel Core i3 6006U 2GHz,4,128,Intel HD Graphics 520,No OS,1.85,403.5
Asus,15.6,Intel Core i7 7700HQ 2.8GHz,8,1024,Nvidia GeForce GTX 1060,Windows 10,2.3,1655
Lenovo,14,Intel Core i5 7200U 2.5GHz,8,256,Nvidia GeForce 940MX,Windows 10,1.5,1099
Asus,13.3,Intel Core i7 7500U 2.7GHz,16,512,Intel HD Graphics 620,Windows 10,1.1,1748.9
Lenovo,14,Intel Core i7 7500U 2.7GHz,8,512,Intel HD Graphics 620,Windows 10,1.13,2282
Lenovo,13.3,Intel Core i3 7100U 2.4GHz,4,128,Intel HD Graphics 620,Windows 10,1.5,549
Dell,15.6,Intel Core i5 6440HQ 2.6GHz,8,500,AMD FirePro W5130M,Windows 10,2.23,1369
Dell,15.6,Intel Core i7 6820HQ 2.7GHz,8,256,Nvidia Quadro M1200,Windows 10,2,2135
Lenovo,14,Intel Core i7 7500U 2.7GHz,16,512,Intel HD Graphics 620,Windows 10,1.42,2509
Asus,17.3,Intel Core i7 7700HQ 2.8GHz,8,1024,Nvidia GeForce GTX 1050,Windows 10,3,1039
Asus,17.3,Intel Core i7 7700HQ 2.8GHz,16,1024,Nvidia GeForce GTX 1050 Ti,Windows 10,3,1591
Acer,15.6,Intel Core i5 8250U 1.6GHz,12,1024,Nvidia GeForce MX130,Windows 10,2.2,693.99
MSI,17.3,Intel Core i7 7700HQ 2.8GHz,8,256,Nvidia GeForce GTX 1050 Ti,Windows 10,2.7,1349
Dell,15.6,Intel Core i7 7500U 2.7GHz,8,256,AMD Radeon R7 M445,Linux,2.33,778.87
HP,15.6,AMD A9-Series 9420 3GHz,4,256,AMD Radeon 520,Windows 10,1.91,499
Lenovo,15.6,Intel Core i7 8550U 1.8GHz,8,256,AMD Radeon RX 550,Windows 10,2.1,1229.56
Lenovo,14,Intel Core i5 7200U 2.5GHz,8,256,Intel HD Graphics 620,Windows 10,1.9,938
Dell,15.6,Intel Core i7 7700HQ 2.8GHz,8,256,Nvidia Quadro M1200,Windows 10,1.78,2712
Lenovo,14,Intel Core i7 7500U 2.7GHz,16,1024,Intel HD Graphics 620,Windows 10,1.13,2625
Lenovo,15.6,Intel Celeron Dual Core N3350 1.1GHz,4,1024,Intel HD Graphics 500,Windows 10,2.2,306
Asus,17.3,Intel Core i7 7700HQ 2.8GHz,16,1024,Nvidia GeForce GTX 1050,Windows 10,2.9,1529
Lenovo,15.6,Intel Core i5 8250U 1.6GHz,8,1024,AMD Radeon RX 550,Windows 10,2.1,1144.5
Acer,15.6,Intel Core i7 7700HQ 2.8GHz,8,256,Nvidia GeForce GTX 1050,Linux,2.5,879
MSI,17.3,Intel Core i7 7700HQ 2.8GHz,16,1024,Nvidia GeForce GTX 1070,Windows 10,2.8,2249
Asus,14,Intel Core i7 7500U 2.7GHz,8,512,Intel HD Graphics 620,Windows 10,1.1,1873
Toshiba,13.3,Intel Core i7 6500U 2.5GHz,16,512,Intel HD Graphics 520,Windows 10,1.2,1747
Dell,14,Intel Core i7 7600U 2.8GHz,8,512,Intel HD Graphics,Windows 10,1.36,1680
Lenovo,15.6,Intel Core i3 6006U 2GHz,4,500,Intel HD Graphics 520,Windows 10,2.2,409
Lenovo,11.6,Intel Celeron Dual Core N3350 1.1GHz,2,32,Intel HD Graphics 500,Windows 10,1.15,304.45
Lenovo,15.6,Intel Core i7 7700HQ 2.8GHz,8,512,Nvidia Quadro M1200,Windows 10,2.67,1925
Lenovo,14,Intel Core i7 7700HQ 2.8GHz,8,512,Nvidia GeForce GT 940MX,Windows 10,1.7,1943
HP,15.6,Intel Core i3 6006U 2GHz,4,1024,AMD Radeon 520,Windows 10,2.1,469
Acer,13.3,Intel Core i7 6500U 2.5GHz,8,256,Intel HD Graphics 520,Windows 10,1.6,789.01
Asus,13.3,Intel Core i5 7200U 2.5GHz,8,256,Intel HD Graphics 620,Windows 10,1.27,928
Dell,15.6,Intel Core i5 7200U 2.5GHz,4,256,AMD Radeon R5 M430,Linux,2.3,598.9
Dell,13.3,Intel Core i3 6006U 2GHz,4,128,Intel HD Graphics 520,Windows 10,1.65,689
HP,14,Intel Core i7 6500U 2.5GHz,8,256,Intel HD Graphics 520,Windows 10,1.43,1500
Dell,15.6,Intel Core i5 7200U 2.5GHz,8,1024,Intel HD Graphics 620,Windows 10,2.14,539.95
Lenovo,14,Intel Core i7 8550U 1.8GHz,8,256,AMD Radeon RX 550,Windows 10,1.75,1215.38
Lenovo,15.6,Intel Core i7 7700HQ 2.8GHz,16,512,Nvidia GeForce GTX 1050,Windows 10,2,1899
Chuwi,12.3,Intel Celeron Quad Core N3450 1.1GHz,6,64,Intel HD Graphics 500,Windows 10,1.4,449
HP,15.6,Intel Core i7 7820HQ 2.9GHz,8,256,Intel HD Graphics 630,Windows 10,2.31,1427
Asus,15.6,Intel Core i3 7100U 2.4GHz,8,1024,Nvidia GeForce 940MX,Linux,2.3,597
Dell,17.3,Intel Core i7 7820HK 2.9GHz,16,1024,Nvidia GeForce GTX 1070,Windows 10,4.42,2799
Dell,15.6,Intel Core i7 7700HQ 2.8GHz,8,1024,Nvidia GeForce GTX 1050 Ti,Windows 10,2.62,1159
Dell,15.6,Intel Core i7 8550U 1.8GHz,8,1024,AMD Radeon 530,Windows 10,2.02,1142.4
Dell,14,Intel Core i7 7600U 2.8GHz,8,256,Intel HD Graphics 620,Linux,1.6,1099
HP,17.3,Intel Core i7 7700HQ 2.8GHz,12,1024,Nvidia GeForce GTX 1070,Windows 10,3.35,1999
Mediacom,11.6,Intel Celeron Dual Core N3350 1.1GHz,4,32,Intel HD Graphics 500,Windows 10,1.16,299
Samsung,11.6,Intel Celeron Dual Core N3060 1.6GHz,4,16,Intel HD Graphics 400,Chrome OS,1.15,269
Lenovo,13.3,Intel Core i7 7500U 2.7GHz,8,256,Intel HD Graphics 620,Windows 10,1.4,1010
Lenovo,14,Intel Core i3 7130U 2.7GHz,4,128,Intel HD Graphics 620,Windows 10,1.7,599
Lenovo,15.6,Intel Core i7 7600U 2.8GHz,16,512,Nvidia GeForce 940MX,Windows 10,2.3,2445
Lenovo,15.6,Intel Core i7 7820HQ 2.9GHz,16,512,Nvidia Quadro M2200M,Windows 10,2.5,2449
Asus,17.3,AMD Ryzen 1600 3.2GHz,8,1024,AMD Radeon RX 580,Windows 10,3.2,1695
HP,15.6,Intel Celeron Dual Core N3060 1.6GHz,4,500,Intel HD Graphics 400,Windows 10,2.1,347
Google,12.3,Intel Core i7 7Y75 1.3GHz,16,512,Intel HD Graphics 615,Chrome OS,1.1,2199
Lenovo,14,Intel Core i7 7500U 2.7GHz,24,512,Intel HD Graphics 620,Windows 10,1.32,2382
Asus,15.6,Intel Core i5 7200U 2.5GHz,4,256,Intel HD Graphics 620,Linux,2,559
Lenovo,17.3,AMD A6-Series 9220 2.5GHz,8,1024,AMD Radeon R4,Windows 10,2.8,519
Dell,15.6,Intel Core i5 8250U 1.6GHz,4,256,AMD Radeon 530,Windows 10,2.2,749
Lenovo,12.5,Intel Core i5 7200U 2.5GHz,8,256,Intel HD Graphics 620,Windows 10,1.36,1429
Lenovo,15.6,Intel Pentium Quad Core N4200 1.1GHz,4,128,Intel HD Graphics 505,Windows 10,2.2,349
HP,15.6,Intel Core i7 7700HQ 2.8GHz,8,1024,Nvidia GeForce GTX 1050,Windows 10,2.2,1099
Dell,14,Intel Core i5 7440HQ 2.8GHz,8,256,Nvidia GeForce 930MX,Windows 10,1.64,1179
Acer,15.6,Intel Core i5 7200U 2.5GHz,4,500,Intel HD Graphics 620,Linux,2.4,441.8
Dell,15.6,Intel Xeon E3-1505M V6 3GHz,8,1024,Nvidia Quadro M620,Windows 10,2.23,1993
MSI,15.6,Intel Core i5 7300HQ 2.5GHz,8,256,Nvidia GeForce GTX 1050,Windows 10,2.2,1027.74
Microsoft,13.5,Intel Core i7 7660U 2.5GHz,16,512,Intel Iris Plus Graphics 640,Windows 10 S,1.25,2589
HP,15.6,Intel Core i5 7200U 2.5GHz,8,128,Intel HD Graphics 620,Windows 10,1.91,589
Dell,15.6,Intel Core i7 6820HQ 2.7GHz,16,256,Nvidia Quadro M620,Windows 10,2.17,1975
HP,15.6,Intel Core i7 7820HQ 2.9GHz,8,512,Intel HD Graphics 620,Windows 10,2.31,1534
Lenovo,14,Intel Core i5 7200U 2.5GHz,8,256,Intel HD Graphics 620,Windows 10,1.65,1345
Dell,15.6,Intel Core i7 8550U 1.8GHz,8,1024,AMD Radeon 530,Windows 10,2.36,979
Dell,11.6,Intel Pentium Quad Core N3710 1.6GHz,4,500,Intel HD Graphics 405,Windows 10,1.47,479
Dell,17.3,Intel Core i7 7700HQ 2.7GHz,8,1024,Nvidia GeForce GTX 1060,Windows 10,4.42,2046
Microsoft,13.5,Intel Core M m3-7Y30 2.2GHz,4,128,Intel HD Graphics 615,Windows 10 S,1.252,989
Microsoft,13.5,Intel Core i7 7660U 2.5GHz,8,256,Intel Iris Plus Graphics 640,Windows 10 S,1.25,1799
HP,17.3,Intel Core i3 6006U 2GHz,8,256,Intel HD Graphics 520,Windows 10,2.5,639.9
Acer,15.6,Intel Core i3 6006U 2GHz,4,1024,Nvidia GeForce 940MX,Windows 10,2.23,544
Acer,11.6,Intel Celeron Dual Core N3060 1.6GHz,4,128,Intel HD Graphics 400,Windows 10,1.4,435
Asus,15.6,Intel Core i5 7200U 2.5GHz,8,1024,Intel HD Graphics 620,Windows 10,2.37,749
Lenovo,14,Intel Core i7 7500U 2.7GHz,8,512,AMD Radeon R7 M460,No OS,1.5,799
Lenovo,15.6,Intel Core i7 7820HQ 2.9GHz,8,256,Nvidia Quadro M2200M,Windows 10,2.67,2090
Asus,15.6,Intel Pentium Quad Core N4200 1.1GHz,4,500,Intel HD Graphics 500,Windows 10,2,304
Acer,15.6,Intel Core i3 6006U 2GHz,4,500,Nvidia GeForce GTX 940MX,Windows 10,2.2,469
Dell,15.6,Intel Core i5 8250U 1.6GHz,8,1024,AMD Radeon 530,Windows 10,2.02,759
HP,17.3,Intel Core i7 7700HQ 2.8GHz,12,1024,Nvidia GeForce GTX 1060,Windows 10,3.78,1699
Lenovo,14,Intel Core i7 6600U 2.6GHz,12,256,Intel HD Graphics 520,Windows 10,1.4,1858
HP,13.3,Intel Core i7 8550U 1.8GHz,8,512,Intel UHD Graphics 620,Windows 10,1.29,1999
HP,15.6,Intel Core i5 7200U 2.5GHz,8,500,AMD FirePro W4190M ,Windows 10,1.9,1154
Google,12.3,Intel Core i5 7Y57 1.2GHz,8,128,Intel HD Graphics 615,Chrome OS,1.1,1275
Dell,13.3,Intel Core i5 8250U 1.6GHz,8,256,Intel UHD Graphics 620,Windows 10,1.42,1841.85
Asus,15.6,Intel Core i7 6700HQ 2.6GHz,12,1024,Intel HD Graphics 530,Windows 10,2.06,1299
Dell,14,Intel Core i3 6100U 2.3GHz,8,128,Intel HD Graphics 520,Windows 10,1.79,740
Dell,15.6,Intel Core i7 7700HQ 2.8GHz,8,256,Nvidia Quadro M1200,Windows 10,1.78,2408
Lenovo,14,Intel Core i5 7200U 2.5GHz,8,180,Intel HD Graphics 620,Windows 10,1.7,1364
Dell,15.6,Intel Core i5 8250U 1.6GHz,8,1024,AMD Radeon 520,Windows 10,2.2,675
Toshiba,13.3,Intel Core i5 7200U 2.5GHz,8,256,Intel HD Graphics 620,Windows 10,1.05,1672
Dell,15.6,Intel Core i7 8550U 1.8GHz,8,512,Nvidia GeForce 940MX,Windows 10,2.16,1262
Dell,15.6,Intel Core i3 7100U 2.4GHz,4,1024,Intel HD Graphics 620,Windows 10,2.18,586.6
HP,13.3,Intel Core i5 8250U 1.6GHz,4,128,Intel UHD Graphics 620,Windows 10,1.49,726
Chuwi,15.6,Intel Atom x5-Z8350 1.44GHz,4,64,Intel HD Graphics,Windows 10,1.89,248.9
Lenovo,15.6,Intel Core i3 6006U 2.0GHz,4,128,Intel HD Graphics 520,Windows 10,2.3,565
Lenovo,14,Intel Core i5 8250U 1.6GHz,8,256,Intel UHD Graphics 620,Windows 10,1.75,1049
